14.5903135,120.9729416,"Archdiocese of Manila Museum (and Archives)","121 Arzobispo St. Intramuros, Manila","Mo-Fr 07:00-17:00","free","http://www.rcam.org/offices/archdiocesan-archives","527-7631 to 36 local 222"
14.6105905,121.0619780,"Armed Forces of the Philippines Museum","Bulwagang Heneral Arturo Enrile, Camp Aguinaldo, Quezon City","Mo-Fr 09:00-17:00","P20 for adults, P10 for students, P5 for military personnel",,"912-7664"
14.6399590,121.0761353,"Ateneo Art Gallery","2/F Rizal Library, Ateneo de Manila University, Quezon City","Mo-Fr 08:00-7:30 pm; Sa 08:00-18:00","free for Ateneo students, faculty and alumni; P30 for guided tours (20 or more persons)","http://www.ateneoartgallery.org","426-6488"
14.5536175,121.0231950,"Ayala Museum","Makati Avenue cor. De La Rosa St., Greenbelt Park, Makati City","Tu-Su 09:00-18:00","free for museum members; for non-members, prices range from P75 to P300 for children, students and senior citizens, and from P150 to P425 for adults","http://www.ayalamuseum.org","759-8288"
14.5909371,120.9749938,"Bahay Tsinoy","Anda cor. Cabildo Sts., Intramuros, Manila","Tu-Su 13:00-17:00","P50 for children and students; P100 for adults","http://www.bahaytsinoy.org","527-6083"
14.6443024,121.0392360,"Bantayog ng mga Bayani Museum","Quezon Avenue cor. EDSA, Diliman, Quezon City","Mo-Sa 08:00-17:00","optional guided tour - P50 per person","http://www.bantayog.org/museum","434-8343"
14.5744869,120.9896632,"Bayanihan Folk Arts Museum","Philippine Women's University, Taft Ave., Manila","Mo-Fr 13:00-16:00","free for PWU students, faculty and alumni; P10 for non-PWU",,"465-1798"
14.5896424,120.9751886,"Casa Manila Museum","Plaza San Luis Complex, Gen. Luna St. cor. Real St., Intramuros, Manila","Tu-Su 09:00-18:00","P50 for students, faculty and senior citizen; P75 for adults",,"527-4088"
14.5582692,120.9855703,"CCP Museum (Museo ng Kalinangang Pilipino)","CCP Complex, Roxas Blvd., Pasay City","Tu-Su 10:00-18:00","P40 for adults; P20 for students and children","http://ped.culturalcenter.gov.ph/index.php?option=com_content&view=article&id=149:ccp-museum&catid=38:museum&Itemid=37","832-1125 local 1508 / 832-5094"
14.6742613,121.0815209,"Cosplay Museum","Commonwealth Avenue, Matandang Balara, Quezon City","Mo-Fr 09:00-15:00; Sa-Su (on special appointments)",,,
